complaint_id,text,category,priority,eta_days,officer_id
ffd80282-4824-4dca-893c-8b47c8ae27c1,Transformer damaged,electricity,medium,9,OFF_1
c0cb92aa-8084-411c-bce5-302e7e236f4b,Traffic signal broken,road,medium,10,OFF_3
bee93ad6-f612-4e80-915d-2d9477584419,Street light not working,electricity,low,15,OFF_3
13636e84-6fa4-459c-9e40-53cf55006e31,Street light not working,electricity,low,7,OFF_2
4cc93761-55ad-431c-920a-6f95f184b188,Potholes on highway,road,low,4,OFF_2
6f1acc1f-4b10-4b43-bdf0-ff531a871649,Potholes on highway,road,low,3,OFF_4
8cd8b78b-1f6e-49e5-8c1e-59ce3cf387e5,Potholes on highway,road,low,7,OFF_4
61e573b7-31f5-442e-8136-705075dce8bc,Potholes on highway,road,high,2,OFF_2
3afa264f-77f0-486b-a319-fe7ec2c3e77f,Traffic signal broken,road,high,5,OFF_5
e86077bb-2426-4115-8b2f-b8641d357f54,Road damaged after rain,road,low,12,OFF_3
7e056492-4f61-4314-97b2-123e4eafe2d7,Street light not working,electricity,low,4,OFF_1
3fc377d0-8a75-4b50-814d-ad01b32ddd4b,Potholes on highway,road,low,7,OFF_4
76dedd26-109e-4beb-803b-d48fc0781cce,Street light not working,electricity,medium,14,OFF_2
e2b8023c-4cd4-487f-94ea-5d3248fc8c10,No water supply,water,medium,5,OFF_1
011e0133-5124-430e-82f8-150013d25c3d,Traffic signal broken,road,medium,14,OFF_5
acf288a2-ded1-4a73-b95a-38291fecc4b9,Road damaged after rain,road,high,9,OFF_4
35e35ed2-d4c7-407a-8619-c8f2e5080a40,No water supply,water,medium,10,OFF_3
59f57686-1b96-4024-8363-1ef0d5e75132,Power outage in sector 9,electricity,high,4,OFF_4
4ba1bf4b-9faf-4799-b0c5-cb7f4a4f1130,Transformer damaged,electricity,medium,15,OFF_3
052ec255-ba1d-41c2-8687-e5794d1c4edd,Power outage in sector 9,electricity,low,2,OFF_5
3aa22641-1e93-4dd9-81e2-3f23f6c3ae38,Transformer damaged,electricity,high,11,OFF_2
91b425ef-8ebb-43ef-8609-17a4a5040d69,Traffic signal broken,road,low,14,OFF_3
e4789f18-a9ae-4e38-b9c7-636a67068dc8,Dirty water coming from tap,water,medium,3,OFF_2
8c3155d9-d855-4be7-8079-ee31fc1d93dc,Dirty water coming from tap,water,medium,5,OFF_2
66e6406f-7f32-40c3-9514-22f9344b590f,No water supply,water,low,10,OFF_1
5d5d4182-923d-458d-a7ed-565f6d035e16,Street light not working,electricity,high,15,OFF_4
e8903232-1905-46b5-b6be-c0fd4dd39015,Street light not working,electricity,high,6,OFF_3
96a462ab-fd7f-41be-843d-ab095227904d,Transformer damaged,electricity,low,5,OFF_2
5fd26f28-e717-484f-8566-bf2cbd995dcf,Dirty water coming from tap,water,medium,8,OFF_2
44513d83-ea5a-4ce5-9f1e-3757ef8c7cd4,Potholes on highway,road,medium,3,OFF_2
a8f71691-a52f-4d0c-92b6-60c2aa1c4547,Road damaged after rain,road,medium,10,OFF_5
0340c9e9-27b9-4f27-a8eb-c0f8faec7fe9,Transformer damaged,electricity,medium,6,OFF_1
40e38134-874e-4b55-9df1-5c2188dba95b,Water leakage near road,water,low,15,OFF_2
a571cd04-b706-4da4-911e-753dd23f8ab6,Road damaged after rain,road,medium,12,OFF_5
81b46961-46dc-49ca-bf10-d12c25fbb080,Power outage in sector 9,electricity,high,10,OFF_5
17abbf2b-aae9-43f0-8ef0-ed0f84eb1c4e,Power outage in sector 9,electricity,low,15,OFF_3
4e4ffe41-44ee-44e3-8dd6-7919912941b7,Traffic signal broken,road,high,11,OFF_2
7b67c378-9675-4862-a240-628445a8c3d4,Street light not working,electricity,medium,15,OFF_1
0707ff26-ad7c-4dbd-8f95-cb25e09553e9,Transformer damaged,electricity,low,9,OFF_5
a87f6149-168d-445f-85cd-f419c91bc6e7,Street light not working,electricity,high,10,OFF_5
1b1a8584-9572-425b-b846-948ef370f985,Transformer damaged,electricity,low,5,OFF_2
40240825-2354-4a90-a8ff-efcf088349d3,Traffic signal broken,road,medium,1,OFF_3
a82e6583-ad6a-4a3b-818c-90d69000d5b4,Water leakage near road,water,medium,10,OFF_4
bf1df6a8-e9a1-4bc9-959b-0895b1c718fa,Potholes on highway,road,medium,5,OFF_1
e2eea156-0ef9-4768-a13f-7412274ca6a7,Transformer damaged,electricity,low,14,OFF_3
d33b3d72-3307-4bbf-bf68-131969deb16d,Water leakage near road,water,high,6,OFF_4
c4a54561-7f1f-4d12-9282-493ad0b24c48,Traffic signal broken,road,low,10,OFF_1
d1ea561f-85c8-4fba-a42d-b1a57d9c3b15,Potholes on highway,road,high,5,OFF_2
45b190c9-e1e8-4894-b3cd-27f925b2d74d,Power outage in sector 9,electricity,medium,9,OFF_5
501d1152-b80a-441d-b23a-f45a82ac6ca2,Road damaged after rain,road,low,2,OFF_5
2f705a4a-91e4-4857-be3b-2628af2392db,Power outage in sector 9,electricity,medium,12,OFF_3
94c9ef61-dacf-4165-aea1-633bd73c304f,Water leakage near road,water,low,5,OFF_5
4700d551-4c66-407e-b0c6-2d3deadfd4b8,Street light not working,electricity,low,14,OFF_3
1a134b1a-0233-4528-93e4-0ebcd889f212,Power outage in sector 9,electricity,medium,7,OFF_3
78cc10b0-3ca8-4735-8e58-c06a2248d4b7,Transformer damaged,electricity,high,2,OFF_2
cc387f18-9bd2-4270-ade8-a17e50259e8f,Water leakage near road,water,high,11,OFF_4
9fb40771-b73d-4b5d-b380-f30fc4a424bd,Water leakage near road,water,high,12,OFF_1
3a3ea7ad-9d9c-4fcd-ac4f-4b1b61992fd5,Traffic signal broken,road,high,13,OFF_2
